main_category,sub_category,job_name,job_area,job_company,job_industry,job_finance,job_scale,job_welfare,salary_range,salary_type,job_experience,job_education,job_tag_list,search_keyword,create_time,,,,
产品,产品经理,产品经理（数据方向）,杭州·余杭区·仓前,班牛ByteNew,企业服务,A轮,100-499人,有无线网，加班补助，团建聚餐，绩效奖金，生日福利，五险一金，节日福利，员工旅游，带薪年假，年终奖，零食下午茶，股票期权,18-25K,13薪,3-5年,本科,"B端产品,电商产品,SaaS,数据,BI",saas,2025/1/20,,,,
产品,产品经理,产品经理（新零售）,杭州·萧山区·北干,王力,互联网,已上市,1000-9999人,五险一金，年终奖,14-19K,13薪,5-10年,本科,"B端产品,C端产品,小程序/H5产品,靠谱,责任心强,",saas,2025/1/20,,,,
产品,产品经理,产品经理（智慧城市）,杭州·滨江区·浦沿,浙江大华,互联网,已上市,10000人以上,餐补，带薪年假，节日福利，加班补助，免费班车，定期体检，通讯补贴，五险一金，补充医疗保险，员工旅游，包吃，交通补助，住房免息贷款，年终奖,15-30K,15薪,5-10年,本科,"产品设计,需求分析,数据分析,数据产品,Axure,Visio",saas,2025/1/20,,,,
产品,产品经理,产品经理（智能客服方向）,杭州·滨江区·长河,网易,互联网,已上市,10000人以上,免费班车，补充医疗保险，节日福利，带薪年假，年终奖，全勤奖，五险一金，定期体检，包吃,18-25K,16薪,3-5年,本科,B端产品,saas,2025/1/20,,,,
产品,产品经理,产品经理（海外SaaS）(J10298),杭州·西湖区·西溪,e签宝,企业服务,D轮及以上,1000-9999人,意外险，夜班补助，节日福利，五险一金，高温补贴，绩效奖金，带薪年假，团建聚餐，年终奖，员工旅游，股票期权，补充医疗保险，交通补助，定期体检，生日福利,10-15K,NULL,1-3年,本科,B端产品,saas,2025/1/20,,,,
产品,产品经理,产品经理（海外业务）,杭州·余杭区·西溪,同花顺,互联网,已上市,1000-9999人,带薪年假，定期体检，交通补助，包吃，免费班车，五险一金，零食下午茶，节日福利，年终奖，股票期权,30-60K,15薪,5-10年,本科,"C端产品,增长产品,搜索产品,APP",saas,2025/1/20,,,,
产品,产品经理,产品经理（潮玩经验）,杭州·萧山区·钱江世纪城,布鲁可科技集团,其他消费品,已上市,500-999人,团建聚餐，五险一金，生日福利，零食下午茶，带薪年假,15-22K,NULL,5-10年,本科,C端产品,saas,2025/1/20,,,,
产品,产品经理,产品经理（电网/智能运维方向）,杭州,炜呈智能科技,通信/网络设备,B轮,100-499人,意外险，零食下午茶，股票期权，高温补贴，员工旅游，五险一金，团建聚餐，加班补助，绩效奖金，年终奖，节日福利，补充商业保险，带薪年假,12-17K,NULL,3-5年,本科,"B端产品,G端产品/政务产品,AI产品,物联网产品",saas,2025/1/20,,,,
产品,产品经理,产品经理（碳）,杭州·滨江区·星光大道,吉利控股集团,汽车研发/制造,已上市,10000人以上,包吃，补充医疗保险，节日福利，交通补助，股票期权，免费班车，带薪年假，住房补贴，定期体检，员工旅游，餐补，加班补助，五险一金，年终奖，零食下午茶，通讯补贴,15-30K,14薪,10年以上,本科,"不限,saas 平台系统",saas,2025/1/20,,,,
产品,产品经理,产品经理（虚拟电厂方向）,杭州·余杭区·仓前,浙江中能坤域能源,人工智能,天使轮,20-99人,有无线网，五险一金，年终奖，团建聚餐，带薪年假，股票期权，节日福利，补充医疗保险，生日福利,18-25K,NULL,3-5年,本科,"AI产品,虚拟电厂,电力,AI",saas,2025/1/20,,,,
